Page,Zone,VisualType,Title,FieldsOrMeasures,Interaction,DesignNote
06 Pattern Analysis,KPI,Card,Pattern attempts,Pattern Attempts,Respond to pattern filter,Violet accent
06 Pattern Analysis,KPI,Card,Pattern transactions,Pattern Transactions,Respond to pattern filter,Red accent
06 Pattern Analysis,KPI,Card,Transactions per attempt,Transactions per Pattern Attempt,Respond to pattern filter,Amber accent
06 Pattern Analysis,Main,Clustered bar chart,Transactions by pattern,dim_pattern_type[pattern_type]; Pattern Transactions,Respond to pattern filter,Sort descending
06 Pattern Analysis,Main,Clustered bar chart,Attempts by pattern,dim_pattern_type[pattern_type]; Pattern Attempts,Respond to pattern filter,Sort descending
06 Pattern Analysis,Bottom,Donut chart,Pattern composition,dim_pattern_type[pattern_type]; Pattern Transactions,Respond to pattern filter,Top 5 plus Other
06 Pattern Analysis,Bottom,Table,Pattern detail,Pattern Rank; pattern_type; attempts; transactions; transactions per attempt; min/max sequence,Respond to pattern filter,No join to daily fact
07 ETL and Data Quality,KPI,Card,ETL batches,ETL Batch Count,Respond to batch filter,Blue accent
07 ETL and Data Quality,KPI,Card,Failed batches,ETL Failed Batches,Respond to batch filter,Conditional green or red
07 ETL and Data Quality,KPI,Card,Rejected rows,ETL Rejected Rows,Respond to batch filter,Conditional green or red
07 ETL and Data Quality,KPI,Card,Validation pass rate,Validation Pass Rate %,Respond to batch filter,Conditional green or red
07 ETL and Data Quality,Main,Line chart,Batch duration,etl_batch_monitor[dw_batch_id]; etl_batch_monitor[duration_minutes],Respond to batch filter,Sort batch ascending
07 ETL and Data Quality,Main,Table,Batch history,batch; load type; status; duration; inserted; rejected; validation,Respond to batch filter,Sort batch descending
07 ETL and Data Quality,Bottom,Table,Validation detail,batch; check; source; target; difference; status,Respond to batch filter,Conditional status text
